word sentid sentpos wlen surp entropy entred
The 0 0 3 3.901517629623413 10.40725326538086 0
book 0 1 4 8.561741828918457 11.125692367553711 0
and 0 2 3 7.353901386260986 7.014344215393066 4.1113481521606445
the 0 3 3 2.6349267959594727 8.68344497680664 0
chair 0 4 5 14.759058952331543 10.35966682434082 0
write 0 5 5 12.746513366699219 6.3616437911987305 3.99802303314209
<unk> 0 6 5 5.737173557281494 6.43782377243042 0
The 1 0 3 3.901517629623413 10.40725326538086 0
book 1 1 4 8.561741828918457 11.125692367553711 0
and 1 2 3 7.353901386260986 7.014344215393066 4.1113481521606445
the 1 3 3 2.6349267959594727 8.68344497680664 0
chair 1 4 5 14.759058952331543 10.35966682434082 0
writes 1 5 6 13.134840965270996 6.3616437911987305 3.99802303314209
<unk> 1 6 5 6.186583042144775 5.7445783615112305 0.6170654296875
The 2 0 3 3.901517629623413 10.40725326538086 0
table 2 1 5 11.862316131591797 11.125692367553711 0
and 2 2 3 8.146804809570312 3.956921100616455 7.168771266937256
the 2 3 3 3.490255117416382 10.808003425598145 0
report 2 4 6 12.879063606262207 11.108114242553711 0
run 2 5 3 13.511969566345215 7.988099575042725 3.1200146675109863
<unk> 2 6 5 7.228625774383545 7.3918046951293945 0.5962948799133301
The 3 0 3 3.901517629623413 10.40725326538086 0
table 3 1 5 11.862316131591797 11.125692367553711 0
and 3 2 3 8.146804809570312 3.956921100616455 7.168771266937256
the 3 3 3 3.490255117416382 10.808003425598145 0
report 3 4 6 12.879063606262207 11.108114242553711 0
runs 3 5 4 14.146408081054688 7.988099575042725 3.1200146675109863
<unk> 3 6 5 6.2957234382629395 6.8303351402282715 1.1577644348144531
The 4 0 3 3.901517629623413 10.40725326538086 0
committee 4 1 9 10.965511322021484 11.125692367553711 0
and 4 2 3 6.280822277069092 8.725791931152344 2.399900436401367
the 4 3 3 1.9055331945419312 7.889754295349121 0.8360376358032227
table 4 4 5 16.396501541137695 9.895532608032227 0
run 4 5 3 11.316781997680664 8.345067024230957 1.5504655838012695
<unk> 4 6 5 7.330441951751709 7.204160690307617 1.1409063339233398
The 5 0 3 3.901517629623413 10.40725326538086 0
committee 5 1 9 10.965511322021484 11.125692367553711 0
and 5 2 3 6.280822277069092 8.725791931152344 2.399900436401367
the 5 3 3 1.9055331945419312 7.889754295349121 0.8360376358032227
table 5 4 5 16.396501541137695 9.895532608032227 0
runs 5 5 4 11.428901672363281 8.345067024230957 1.5504655838012695
<unk> 5 6 5 6.292176723480225 6.454034805297852 1.8910322189331055
The 6 0 3 3.901517629623413 10.40725326538086 0
book 6 1 4 8.561741828918457 11.125692367553711 0
and 6 2 3 7.353901386260986 7.014344215393066 4.1113481521606445
the 6 3 3 2.6349267959594727 8.68344497680664 0
chair 6 4 5 14.759058952331543 10.35966682434082 0
jump 6 5 4 16.508207321166992 6.3616437911987305 3.99802303314209
<unk> 6 6 5 6.247223854064941 8.061809539794922 0
The 7 0 3 3.901517629623413 10.40725326538086 0
book 7 1 4 8.561741828918457 11.125692367553711 0
and 7 2 3 7.353901386260986 7.014344215393066 4.1113481521606445
the 7 3 3 2.6349267959594727 8.68344497680664 0
chair 7 4 5 14.759058952331543 10.35966682434082 0
jumps 7 5 5 16.919584274291992 6.3616437911987305 3.99802303314209
<unk> 7 6 5 7.084200859069824 6.469878673553467 0
The 8 0 3 3.901517629623413 10.40725326538086 0
officer 8 1 7 13.008663177490234 11.125692367553711 0
and 8 2 3 4.748381614685059 8.387242317199707 2.738450050354004
the 8 3 3 3.0398406982421875 9.130942344665527 0
