word sentid sentpos wlen surp entropy entred
The 0 0 3 3.901517629623413 10.40725326538086 0
windows 0 1 7 14.327170372009277 11.125692367553711 0
from 0 2 4 7.741587162017822 5.925922393798828 5.199769973754883
the 0 3 3 1.1668707132339478 5.7603912353515625 0.16553115844726562
missing 0 4 7 13.989974021911621 10.759793281555176 0
new 0 5 3 10.00158405303955 11.32606029510498 0
key 0 6 3 14.734137535095215 10.795873641967773 0.530186653137207
speaks 0 7 6 20.36957359313965 9.795351028442383 1.0005226135253906
<unk> 0 8 5 6.069127559661865 6.229038238525391 3.566312789916992
The 1 0 3 3.901517629623413 10.40725326538086 0
windows 1 1 7 14.327170372009277 11.125692367553711 0
from 1 2 4 7.741587162017822 5.925922393798828 5.199769973754883
the 1 3 3 1.1668707132339478 5.7603912353515625 0.16553115844726562
missing 1 4 7 13.989974021911621 10.759793281555176 0
new 1 5 3 10.00158405303955 11.32606029510498 0
key 1 6 3 14.734137535095215 10.795873641967773 0.530186653137207
speak 1 7 5 19.84701919555664 9.795351028442383 1.0005226135253906
<unk> 1 8 5 6.027435302734375 5.993709087371826 3.8016419410705566
The 2 0 3 3.901517629623413 10.40725326538086 0
soldiers 2 1 8 12.82822322845459 11.125692367553711 0
of 2 2 2 3.140385389328003 7.689767360687256 3.435925006866455
the 2 3 3 0.6904863715171814 4.564877033233643 3.1248903274536133
Victorian 2 4 9 12.716994285583496 10.274721145629883 0
new 2 5 3 16.249876022338867 8.539300918579102 1.7354202270507812
chairs 2 6 6 18.525609970092773 10.07166576385498 0
jump 2 7 4 16.894914627075195 7.359926223754883 2.7117395401000977
<unk> 2 8 5 7.978643417358398 6.713917255401611 0.6460089683532715
The 3 0 3 3.901517629623413 10.40725326538086 0
soldiers 3 1 8 12.82822322845459 11.125692367553711 0
of 3 2 2 3.140385389328003 7.689767360687256 3.435925006866455
the 3 3 3 0.6904863715171814 4.564877033233643 3.1248903274536133
Victorian 3 4 9 12.716994285583496 10.274721145629883 0
new 3 5 3 16.249876022338867 8.539300918579102 1.7354202270507812
chairs 3 6 6 18.525609970092773 10.07166576385498 0
jumps 3 7 5 17.23305320739746 7.359926223754883 2.7117395401000977
<unk> 3 8 5 8.029587745666504 6.016848564147949 1.3430776596069336
The 4 0 3 3.901517629623413 10.40725326538086 0
report 4 1 6 11.23015308380127 11.125692367553711 0
with 4 2 4 8.866268157958984 8.271953582763672 2.853738784790039
the 4 3 3 2.6105663776397705 8.723128318786621 0
guilty 4 4 6 15.990900993347168 10.695682525634766 0
old 4 5 3 13.593685150146484 6.846495628356934 3.849186897277832
windows 4 6 7 14.319624900817871 10.96229076385498 0
speak 4 7 5 18.691970825195312 5.858567714691162 5.103723049163818
<unk> 4 8 5 6.340294361114502 5.403721809387207 0.4548459053039551
The 5 0 3 3.901517629623413 10.40725326538086 0
report 5 1 6 11.23015308380127 11.125692367553711 0
with 5 2 4 8.866268157958984 8.271953582763672 2.853738784790039
the 5 3 3 2.6105663776397705 8.723128318786621 0
guilty 5 4 6 15.990900993347168 10.695682525634766 0
old 5 5 3 13.593685150146484 6.846495628356934 3.849186897277832
windows 5 6 7 14.319624900817871 10.96229076385498 0
speaks 5 7 6 16.836299896240234 5.858567714691162 5.103723049163818
<unk> 5 8 5 7.778326511383057 4.6149210929870605 1.2436466217041016
The 6 0 3 3.901517629623413 10.40725326538086 0
chair 6 1 5 14.49557113647461 11.125692367553711 0
by 6 2 2 8.722169876098633 6.493639945983887 4.632052421569824
the 6 3 3 2.107192277908325 8.549160957336426 0
ready 6 4 5 17.8073673248291 10.8346529006958 0
missing 6 5 7 16.340669631958008 9.967751502990723 0.8669013977050781
team 6 6 4 9.073058128356934 10.647862434387207 0
speaks 6 7 6 15.279555320739746 7.002716541290283 3.645145893096924
<unk> 6 8 5 6.992405414581299 5.166448593139648 1.8362679481506348
The 7 0 3 3.901517629623413 10.40725326538086 0
chair 7 1 5 14.49557113647461 11.125692367553711 0
by 7 2 2 8.722169876098633 6.493639945983887 4.632052421569824
the 7 3 3 2.107192277908325 8.549160957336426 0
ready 7 4 5 17.8073673248291 10.8346529006958 0
missing 7 5 7 16.340669631958008 9.967751502990723 0.8669013977050781
team 7 6 4 9.073058128356934 10.647862434387207 0
speak 7 7 5 17.09750747680664 7.002716541290283 3.645145893096924
<unk> 7 8 5 6.480738162994385 5.565912246704102 1.4368042945861816
The 8 0 3 3.901517629623413 10.40725326538086 0
soldier 8 1 7 14.684849739074707 11.125692367553711 0
of 8 2 2 4.254895210266113 8.734453201293945 2.3912391662597656
the 8 3 3 1.0698374509811401 6.202075958251953 2.532377243041992
senior 8 4 6 10.783002853393555 10.79927921295166 0
important 8 5 9 18.775861740112305 9.05868148803711 1.7405977249145508
windows 8 6 7 20.032470703125 10.262758255004883 0
jump 8 7 4 19.189075469970703 6.303261756896973 3.95949649810791
<unk> 8 8 5 7.871344566345215 7.0169196128845215 0
The 9 0 3 3.901517629623413 10.40725326538086 0
soldier 9 1 7 14.684849739074707 11.125692367553711 0
of 9 2 2 4.254895210266113 8.734453201293945 2.3912391662597656
the 9 3 3 1.0698374509811401 6.202075958251953 2.532377243041992
senior 9 4 6 10.783002853393555 10.79927921295166 0
important 9 5 9 18.775861740112305 9.05868148803711 1.7405977249145508
windows 9 6 7 20.032470703125 10.262758255004883 0
jumps 9 7 5 17.269052505493164 6.303261756896973 3.95949649810791
<unk> 9 8 5 8.196203231811523 6.281118869781494 0.022142887115478516
The 10 0 3 3.901517629623413 10.40725326538086 0
report 10 1 6 11.23015308380127 11.125692367553711 0
to 10 2 2 7.9529924392700195 8.271953582763672 2.853738784790039
the 10 3 3 1.6876661777496338 7.4423828125 0.8295707702636719
new 10 4 3 9.357976913452148 9.264238357543945 0
new 10 5 3 10.15291976928711 9.604166984558105 0
blanket 10 6 7 18.848722457885742 9.795538902282715 0
writes 10 7 6 15.484140396118164 9.768112182617188 0.027426719665527344
<unk> 10 8 5 5.081160068511963 6.4891180992126465 3.278994083404541
The 11 0 3 3.901517629623413 10.40725326538086 0
report 11 1 6 11.23015308380127 11.125692367553711 0
to 11 2 2 7.9529924392700195 8.271953582763672 2.853738784790039
the 11 3 3 1.6876661777496338 7.4423828125 0.8295707702636719
new 11 4 3 9.357976913452148 9.264238357543945 0
new 11 5 3 10.15291976928711 9.604166984558105 0
blanket 11 6 7 18.848722457885742 9.795538902282715 0
write 11 7 5 16.262739181518555 9.768112182617188 0.027426719665527344
<unk> 11 8 5 5.3182244300842285 6.6511549949646 3.116957187652588
The 12 0 3 3.901517629623413 10.40725326538086 0
windows 12 1 7 14.327170372009277 11.125692367553711 0
with 12 2 4 7.156379699707031 5.925922393798828 5.199769973754883
the 12 3 3 2.271744728088379 7.720085144042969 0
old 12 4 3 8.068297386169434 10.717116355895996 0
old 12 5 3 8.989392280578613 10.764719009399414 0
table 12 6 5 10.736080169677734 9.955286979675293 0.8094320297241211
was 12 7 3 8.34714126586914 7.895822525024414 2.059464454650879
<unk> 12 8 5 5.504817485809326 9.097281455993652 0
The 13 0 3 3.901517629623413 10.40725326538086 0
windows 13 1 7 14.327170372009277 11.125692367553711 0
with 13 2 4 7.156379699707031 5.925922393798828 5.199769973754883
the 13 3 3 2.271744728088379 7.720085144042969 0
old 13 4 3 8.068297386169434 10.717116355895996 0
old 13 5 3 8.989392280578613 10.764719009399414 0
table 13 6 5 10.736080169677734 9.955286979675293 0.8094320297241211
were 13 7 4 4.054971218109131 7.895822525024414 2.059464454650879
<unk> 13 8 5 5.522462844848633 9.038613319396973 0
The 14 0 3 3.901517629623413 10.40725326538086 0
chairs 14 1 6 17.12388801574707 11.125692367553711 0
on 14 2 2 6.649545192718506 6.923425197601318 4.202267169952393
the 14 3 3 0.683394730091095 4.1433539390563965 2.780071258544922
senior 14 4 6 12.22456169128418 10.300867080688477 0
guilty 14 5 6 19.297094345092773 9.710993766784668 0.5898733139038086
cabinet 14 6 7 15.082411766052246 6.444606304168701 3.266387462615967
speaks 14 7 6 16.4105281829834 7.4567179679870605 0
<unk> 14 8 5 6.836874485015869 5.440426349639893 2.016291618347168
The 15 0 3 3.901517629623413 10.40725326538086 0
chairs 15 1 6 17.12388801574707 11.125692367553711 0
on 15 2 2 6.649545192718506 6.923425197601318 4.202267169952393
the 15 3 3 0.683394730091095 4.1433539390563965 2.780071258544922
senior 15 4 6 12.22456169128418 10.300867080688477 0
guilty 15 5 6 19.297094345092773 9.710993766784668 0.5898733139038086
cabinet 15 6 7 15.082411766052246 6.444606304168701 3.266387462615967
speak 15 7 5 12.333364486694336 7.4567179679870605 0
<unk> 15 8 5 6.367260932922363 5.842224597930908 1.6144933700561523
The 16 0 3 3.901517629623413 10.40725326538086 0
table 16 1 5 11.862316131591797 11.125692367553711 0
of 16 2 2 7.620238780975342 3.956921100616455 7.168771266937256
the 16 3 3 2.081674575805664 9.2236328125 0
damaged 16 4 7 16.704315185546875 11.0438814163208 0
innocent 16 5 8 16.969627380371094 11.688922882080078 0
key 16 6 3 14.733993530273438 10.150603294372559 1.5383195877075195
was 16 7 3 6.328397274017334 9.803071022033691 0.3475322723388672
<unk> 16 8 5 4.704158782958984 9.55128288269043 0.2517881393432617
The 17 0 3 3.901517629623413 10.40725326538086 0
table 17 1 5 11.862316131591797 11.125692367553711 0
of 17 2 2 7.620238780975342 3.956921100616455 7.168771266937256
the 17 3 3 2.081674575805664 9.2236328125 0
damaged 17 4 7 16.704315185546875 11.0438814163208 0
innocent 17 5 8 16.969627380371094 11.688922882080078 0
key 17 6 3 14.733993530273438 10.150603294372559 1.5383195877075195
were 17 7 4 8.758633613586426 9.803071022033691 0.3475322723388672
<unk> 17 8 5 4.502375602722168 9.819304466247559 0
The 18 0 3 3.901517629623413 10.40725326538086 0
team 18 1 4 9.316719055175781 11.125692367553711 0
