word sentid sentpos wlen surp entropy entred
The 0 0 3 3.901517629623413 10.40725326538086 0
reports 0 1 7 13.81673526763916 11.125692367553711 0
from 0 2 4 6.0677714347839355 5.924306392669678 5.201385974884033
the 0 3 3 1.7834627628326416 7.835814476013184 0
ornate 0 4 6 18.355684280395508 10.511351585388184 0
ornate 0 5 6 14.030451774597168 10.623034477233887 0
reports 0 6 7 16.15418243408203 9.793444633483887 0.82958984375
run 0 7 3 16.177757263183594 5.734053611755371 4.059391021728516
<unk> 0 8 5 7.702177047729492 6.827088832855225 0
The 1 0 3 3.901517629623413 10.40725326538086 0
reports 1 1 7 13.81673526763916 11.125692367553711 0
from 1 2 4 6.0677714347839355 5.924306392669678 5.201385974884033
the 1 3 3 1.7834627628326416 7.835814476013184 0
ornate 1 4 6 18.355684280395508 10.511351585388184 0
ornate 1 5 6 14.030451774597168 10.623034477233887 0
reports 1 6 7 16.15418243408203 9.793444633483887 0.82958984375
runs 1 7 4 16.498483657836914 5.734053611755371 4.059391021728516
<unk> 1 8 5 6.804361343383789 6.356621742248535 0
The 2 0 3 3.901517629623413 10.40725326538086 0
table 2 1 5 11.862316131591797 11.125692367553711 0
with 2 2 4 8.002227783203125 3.956921100616455 7.168771266937256
the 2 3 3 1.7961522340774536 7.441112995147705 0
Victorian 2 4 9 14.035501480102539 10.803173065185547 0
senior 2 5 6 13.5277738571167 10.27234935760498 0.5308237075805664
window 2 6 6 15.17765998840332 10.431015014648438 0
speaks 2 7 6 14.002546310424805 7.559948921203613 2.871066093444824
<unk> 2 8 5 6.3554463386535645 5.5515217781066895 2.008427143096924
The 3 0 3 3.901517629623413 10.40725326538086 0
table 3 1 5 11.862316131591797 11.125692367553711 0
with 3 2 4 8.002227783203125 3.956921100616455 7.168771266937256
the 3 3 3 1.7961522340774536 7.441112995147705 0
Victorian 3 4 9 14.035501480102539 10.803173065185547 0
senior 3 5 6 13.5277738571167 10.27234935760498 0.5308237075805664
window 3 6 6 15.17765998840332 10.431015014648438 0
speak 3 7 5 16.348859786987305 7.559948921203613 2.871066093444824
<unk> 3 8 5 6.0621819496154785 5.849079608917236 1.710869312286377
The 4 0 3 3.901517629623413 10.40725326538086 0
books 4 1 5 12.639632225036621 11.125692367553711 0
of 4 2 2 3.8621745109558105 6.966679573059082 4.159012794494629
the 4 3 3 1.5724955797195435 7.3815460205078125 0
early 4 4 5 6.957153797149658 10.404448509216309 0
old 4 5 3 13.81729507446289 8.713200569152832 1.6912479400634766
tables 4 6 6 15.636002540588379 9.710838317871094 0
read 4 7 4 12.689399719238281 6.212315082550049 3.498523235321045
<unk> 4 8 5 6.8196282386779785 6.404040813446045 0
The 5 0 3 3.901517629623413 10.40725326538086 0
books 5 1 5 12.639632225036621 11.125692367553711 0
of 5 2 2 3.8621745109558105 6.966679573059082 4.159012794494629
the 5 3 3 1.5724955797195435 7.3815460205078125 0
early 5 4 5 6.957153797149658 10.404448509216309 0
old 5 5 3 13.81729507446289 8.713200569152832 1.6912479400634766
tables 5 6 6 15.636002540588379 9.710838317871094 0
reads 5 7 5 15.575610160827637 6.212315082550049 3.498523235321045
<unk> 5 8 5 5.947301864624023 5.875018119812012 0.3372969627380371
The 6 0 3 3.901517629623413 10.40725326538086 0
window 6 1 6 13.89931869506836 11.125692367553711 0
of 6 2 2 4.046727180480957 7.658223628997803 3.467468738555908
the 6 3 3 1.1742098331451416 6.785966396331787 0.8722572326660156
missing 6 4 7 13.353893280029297 11.329787254333496 0
ornate 6 5 6 18.426565170288086 11.206679344177246 0.12310791015625
cabinet 6 6 7 15.597395896911621 10.037947654724121 1.168731689453125
runs 6 7 4 12.457223892211914 6.63954496383667 3.398402690887451
<unk> 6 8 5 6.946479797363281 6.296444416046143 0.34310054779052734
The 7 0 3 3.901517629623413 10.40725326538086 0
window 7 1 6 13.89931869506836 11.125692367553711 0
of 7 2 2 4.046727180480957 7.658223628997803 3.467468738555908
the 7 3 3 1.1742098331451416 6.785966396331787 0.8722572326660156
missing 7 4 7 13.353893280029297 11.329787254333496 0
ornate 7 5 6 18.426565170288086 11.206679344177246 0.12310791015625
cabinet 7 6 7 15.597395896911621 10.037947654724121 1.168731689453125
run 7 7 3 15.195635795593262 6.63954496383667 3.398402690887451
<unk> 7 8 5 7.835251808166504 6.431831359863281 0.20771360397338867
The 8 0 3 3.901517629623413 10.40725326538086 0
staff 8 1 5 12.295034408569336 11.125692367553711 0
in 8 2 2 6.780677318572998 8.916581153869629 2.209111213684082
the 8 3 3 1.5739247798919678 6.777513027191162 2.139068126678467
damaged 8 4 7 17.818601608276367 10.861651420593262 0
senior 8 5 6 15.3326416015625 11.212403297424316 0
books 8 6 5 11.6509370803833 9.610023498535156 1.6023797988891602
read 8 7 4 9.559542655944824 7.700381278991699 1.909642219543457
<unk> 8 8 5 6.758260726928711 5.9448323249816895 1.7555489540100098
The 9 0 3 3.901517629623413 10.40725326538086 0
staff 9 1 5 12.295034408569336 11.125692367553711 0
in 9 2 2 6.780677318572998 8.916581153869629 2.209111213684082
